"","state","week_start","tmean_week_C","tmean_week_F"
"1","Alabama",2018-01-01,-0.357142857142857,31.3571428571429
"2","Alabama",2018-01-08,9.17142857142857,48.5085714285714
"3","Alabama",2018-01-15,2.64285714285714,36.7571428571429
"4","Alabama",2018-01-22,10.3714285714286,50.6685714285714
"5","Alabama",2018-01-29,8.45714285714286,47.2228571428571
"6","Alabama",2018-02-05,13.2428571428571,55.8371428571429
"7","Alabama",2018-02-12,17.0428571428571,62.6771428571429
"8","Alabama",2018-02-19,20.3857142857143,68.6942857142857
"9","Alabama",2018-02-26,14.5857142857143,58.2542857142857
"10","Alabama",2018-03-05,11.8,53.24
"11","Alabama",2018-03-12,12.2285714285714,54.0114285714286
"12","Alabama",2018-03-19,14.6571428571429,58.3828571428571
"13","Alabama",2018-03-26,15.8857142857143,60.5942857142857
"14","Alabama",2018-04-02,15.4857142857143,59.8742857142857
"15","Alabama",2018-04-09,16.6142857142857,61.9057142857143
"16","Alabama",2018-04-16,15.5,59.9
"17","Alabama",2018-04-23,16.6428571428571,61.9571428571429
"18","Alabama",2018-04-30,20.5857142857143,69.0542857142857
"19","Alabama",2018-05-07,23.7,74.66
"20","Alabama",2018-05-14,25.4428571428571,77.7971428571429
"21","Alabama",2018-05-21,23.9142857142857,75.0457142857143
"22","Alabama",2018-05-28,24.8285714285714,76.6914285714286
"23","Alabama",2018-06-04,25,77
"24","Alabama",2018-06-11,25.3,77.54
"25","Alabama",2018-06-18,28.2571428571429,82.8628571428571
"26","Alabama",2018-06-25,28.2714285714286,82.8885714285714
"27","Alabama",2018-07-02,28.4428571428571,83.1971428571429
"28","Alabama",2018-07-09,29,84.2
"29","Alabama",2018-07-16,27.5857142857143,81.6542857142857
"30","Alabama",2018-07-23,28.4,83.12
"31","Alabama",2018-07-30,25.6,78.08
"32","Alabama",2018-08-06,27.3428571428571,81.2171428571429
"33","Alabama",2018-08-13,26.9285714285714,80.4714285714286
"34","Alabama",2018-08-20,26.2,79.16
"35","Alabama",2018-08-27,27.4714285714286,81.4485714285714
"36","Alabama",2018-09-03,27.6142857142857,81.7057142857143
"37","Alabama",2018-09-10,28.5285714285714,83.3514285714286
"38","Alabama",2018-09-17,29.4142857142857,84.9457142857143
"39","Alabama",2018-09-24,25.4142857142857,77.7457142857143
"40","Alabama",2018-10-01,26.8857142857143,80.3942857142857
"41","Alabama",2018-10-08,23.2142857142857,73.7857142857143
"42","Alabama",2018-10-15,21.1142857142857,70.0057142857143
"43","Alabama",2018-10-22,16.0428571428571,60.8771428571429
"44","Alabama",2018-10-29,16.8714285714286,62.3685714285714
"45","Alabama",2018-11-05,16.0285714285714,60.8514285714286
"46","Alabama",2018-11-12,8.67142857142857,47.6085714285714
"47","Alabama",2018-11-19,10.5,50.9
